 What is your age? ,What is your gender?  , What is your occupation?   , How many hours do you play video games per day on average?  ,How many days per week do you play games?  , What type of games do you mostly play?  ,Do you often lose track of time while gaming?  ,Have you ever skipped meals or sleep due to gaming?   ,Have others ever expressed concern about your gaming habits?  ,"On a scale of 1 to 10, how stressed do you feel on average?  ","On a scale of 1 to 10, how anxious do you feel regularly?  ","On average, how many hours of sleep do you get per night?  ",How often do you feel socially withdrawn or isolated?  ,Have you ever felt guilty or depressed after long gaming sessions?  ,Do you think gaming helps you cope with stress or emotional issues?  ,Do you consent to your responses being used anonymously for academic research?   
22,Female,Fast Food Cashier,6,4,Strategy,Yes,No,Yes,7,1,7.0,Sometimes,Yes,Yes,Yes
20,Female,Business in Import export ,8,1,Simulation,Yes,Yes,Yes,10,3,8.0,Rarely,Yes,No,Yes
27,Female,Barista,2,2,RPG,No,Yes,No,3,4,6.2,Sometimes,Yes,Yes,Yes
19,Prefer not to say,Dental Hygienist,7,7,Multiplayer,Yes,No,No,10,1,5.3,Rarely,No,Yes,Yes
27,Female,Physician Assistant,3,7,Battle Royale,Yes,Yes,Yes,2,9,6.1,Sometimes,Yes,No,Yes
21,Female,Student,2,7,Other,Yes,No,Yes,8,4,4.7,Sometimes,No,No,Yes
18,Female,Freelance Writer,2,7,Casual,Yes,Yes,Yes,8,5,6.1,Sometimes,Yes,No,Yes
24,Male,Computer Engineering,3,1,Battle Royale,Yes,No,No,2,4,2.0,Rarely,Yes,Yes,Yes
20,Female,HR Generalist,2,7,Simulation,Yes,Yes,Yes,2,4,6.4,Often,No,No,Yes
22,Male,Factory Worker,4,6,Strategy,Yes,Yes,No,7,6,6.0,Sometimes,Yes,Yes,Yes
21,Female,Student,2,3,RPG,No,No,No,6,5,6.0,Sometimes,No,Yes,Yes
21,Female,Student,6,7,Rhythm,Yes,Yes,Yes,6,3,6.2,Often,No,No,Yes
22,Female,Student,2,4,Racing,Yes,No,Yes,3,5,7.9,Never,Yes,No,Yes
20,Female,Electrician,6,7,Sports,Yes,Yes,Yes,9,4,6.0,Never,No,Yes,Yes
20,Male,Student,7,3,Casual,Yes,No,No,10,7,6.1,Rarely,Yes,No,Yes
23,Female,Teacher,2,2,Other,Yes,Yes,No,9,8,5.9,Sometimes,No,Yes,Yes
20,Female,Vet Tech,3,4,Sports,Yes,Yes,Yes,10,6,6.1,Sometimes,No,Yes,Yes
21,Male,Student,1,7,FPS,Yes,Yes,Yes,10,4,7.7,Sometimes,No,Yes,Yes
19,Female,HS Senior,3,7,Strategy,Yes,Yes,No,9,6,6.2,Rarely,Yes,Yes,Yes
22,Female,College Freshman,1,2,Action,Yes,Yes,Yes,7,3,3.5,Often,Yes,No,Yes
19,Female,Pharmacy Tech,4,6,Simulation,Yes,No,Yes,8,1,7.4,Often,No,No,Yes
20,Male,Janitor,1,7,Strategy,Yes,No,No,8,5,4.9,Sometimes,No,Yes,Yes
28,Male,Grocery Stocker,3,3,Simulation,Yes,Yes,Yes,6,4,4.9,Often,Yes,Yes,Yes
21,Female,Factory Supervisor,9,7,Racing,Yes,No,Yes,7,5,6.8,Never,Yes,No,Yes
19,Female,Drink,2,1,Adventure,Yes,No,No,7,2,3.3,Often,No,No,Yes
25,Male,Construction Worker,7,6,Educational,Yes,Yes,Yes,2,4,5.8,Often,No,Yes,Yes
22,Male,College Dropout,1,1,Strategy,Yes,Yes,Yes,6,7,3.8,Sometimes,No,No,Yes
17,Male,Medical Assistant,6,6,Strategy,Yes,No,No,3,8,6.2,Sometimes,Yes,No,Yes
18,Female,College Freshman,6,4,Action,No,Yes,Yes,2,7,6.3,Always,No,No,Yes
23,Male,Graphic designer,5,6,Battle Royale,Yes,No,Yes,8,5,4.6,Sometimes,Yes,No,Yes
23,Female,Cybersecurity Expert,4,4,Simulation,Yes,Yes,Yes,2,1,7.1,Sometimes,Yes,No,Yes
17,Male,HR Assistant,4,4,Battle Royale,Yes,Yes,Yes,9,4,5.5,Often,Yes,No,Yes
22,Male,Student,7,1,Creative,Yes,Yes,No,2,1,7.0,Sometimes,Yes,Yes,Yes
23,Male,College Dropout,2,6,Casual,Yes,No,Yes,5,7,6.1,Often,No,Yes,Yes
24,Female,Student,1,6,Racing,Yes,Yes,Yes,6,1,7.1,Sometimes,No,No,Yes
20,Male,Chief Technology Officer,1,2,FPS,Yes,No,Yes,2,6,5.3,Often,Yes,No,No
21,Male,Physician Assistant,4,4,Casual,Yes,No,Yes,6,6,6.3,Often,Yes,No,Yes
20,Male,Freelancer,3,1,Simulation,Yes,No,Yes,6,1,6.2,Always,Yes,No,Yes
17,Male,Construction Foreman,5,6,Action,Yes,Yes,No,8,6,7.1,Sometimes,No,Yes,Yes
20,Male,College Dropout,1,6,FPS,Yes,Yes,Yes,6,8,4.0,Always,No,Yes,Yes
25,Female,Kindergarten Teacher,6,6,Sports,Yes,Yes,Yes,7,5,4.8,Often,Yes,Yes,Yes
31,Male,Auto Dealer,5,4,Racing,Yes,No,No,8,1,6.3,Often,Yes,Yes,Yes
29,Female,Unemployed,2,4,Battle Royale,No,No,No,5,5,5.8,Rarely,Yes,Yes,Yes
25,Male,Pharmacist,6,5,Strategy,No,Yes,Yes,7,10,7.1,Often,Yes,Yes,Yes
17,Male,Student,1,4,Educational,Yes,No,No,10,4,7.2,Never,No,Yes,Yes
18,Male,Student,3,7,Puzzle,Yes,No,No,9,5,7.1,Often,No,Yes,Yes
22,Female,Student,1,5,Strategy,Yes,No,Yes,7,6,5.7,Often,Yes,Yes,Yes
17,Male,Student,1,6,Casual,Yes,No,Yes,7,7,6.0,Never,Yes,No,Yes
19,Prefer not to say,Marketing Asst,3,6,RPG,No,No,No,6,9,7.1,Sometimes,Yes,Yes,Yes
25,Male,Quantum Computing Stud,5,5,Puzzle,Yes,No,No,2,1,7.2,Sometimes,Yes,No,Yes
24,Female,Student,1,6,Creative,Yes,No,No,2,6,6.2,Often,No,No,Yes
22,Female,Student,3,6,FPS,Yes,No,No,9,5,6.2,Sometimes,Yes,No,Yes
21,Male,College Dropout,2,6,Educational,Yes,Yes,Yes,8,5,8.1,Often,Yes,Yes,Yes
20,Other,Chief People Officer,3,5,Battle Royale,Yes,Yes,Yes,7,6,6.0,Sometimes,Yes,Yes,Yes
19,Female,Vet Tech,2,4,Puzzle,Yes,Yes,No,8,1,2.6,Never,No,No,Yes
23,Male,Student,7,6,FPS,Yes,No,No,7,9,6.4,Always,Yes,No,Yes
22,Male,Nanny,1,2,Casual,Yes,Yes,Yes,3,8,6.0,Always,Yes,Yes,Yes
20,Male,Security Officer,1,3,Puzzle,Yes,Yes,No,10,6,8.1,Never,Yes,No,Yes
20,Male,College Sophomore,1,7,Racing,Yes,No,No,8,2,5.2,Always,Yes,No,Yes
20,Male,Art Student,5,5,Puzzle,Yes,Yes,No,9,4,6.0,Sometimes,No,Yes,Yes
24,Male,Auto Dealership Manager,4,1,RPG,Yes,No,No,6,1,6.1,Sometimes,No,Yes,Yes
18,Prefer not to say,High School Student,4,3,FPS,Yes,Yes,Yes,10,7,6.0,Always,Yes,Yes,Yes
22,Male,Preschool Aide,2,5,Battle Royale,Yes,Yes,Yes,8,6,7.2,Never,Yes,Yes,Yes
22,Male,Computer Science Intern,3,6,FPS,Yes,Yes,Yes,2,8,7.2,Sometimes,Yes,No,Yes
20,Male,Manager,7,5,FPS,Yes,Yes,Yes,2,4,7.5,Never,No,Yes,Yes
19,Male,Landscape Architect,1,3,Creative,Yes,Yes,Yes,3,7,5.2,Often,Yes,No,Yes
22,Female,Preschool Assistant,7,6,Battle Royale,Yes,Yes,Yes,6,5,3.6,Sometimes,Yes,Yes,Yes
19,Male,Student,4,4,Educational,Yes,Yes,Yes,3,9,6.3,Often,Yes,No,Yes
18,Male,Cosmetology Student,4,5,Battle Royale,Yes,No,No,8,4,6.1,Often,Yes,Yes,Yes
21,Female,Cook,2,6,Casual,No,Yes,No,5,2,8.4,Sometimes,No,Yes,Yes
25,Male,Supply Chain Director,2,6,Strategy,Yes,No,Yes,9,4,6.6,Never,Yes,No,Yes
18,Female,Nurse,1,1,Racing,Yes,Yes,Yes,7,6,6.2,Often,No,No,Yes
18,Female,Construction Manager,5,6,Simulation,Yes,No,Yes,3,2,6.2,Sometimes,Yes,No,Yes
27,Male,College Athlete,5,3,Battle Royale,Yes,Yes,Yes,2,7,6.0,Sometimes,Yes,No,Yes
21,Other,Student,2,5,Strategy,Yes,No,Yes,8,1,5.9,Sometimes,No,Yes,Yes
27,Female,Astrophysics Student,1,2,Racing,Yes,No,Yes,6,6,5.1,Always,No,No,Yes
19,Prefer not to say,Fast Food Worker,1,6,Racing,No,Yes,Yes,9,6,5.5,Never,Yes,No,Yes
26,Male,Freelancer,2,6,Puzzle,Yes,Yes,No,6,5,8.2,Sometimes,Yes,Yes,Yes
21,Male,Software Engineer,2,5,Strategy,Yes,Yes,Yes,7,4,8.4,Often,Yes,No,Yes
18,Female,Electrician,5,3,Strategy,Yes,Yes,No,8,2,6.0,Rarely,No,Yes,Yes
21,Male,Manager at a Gaming Cafe,7,7,Strategy,Yes,Yes,Yes,8,1,6.0,Sometimes,Yes,Yes,Yes
19,Female,Biology Major,4,4,Casual,Yes,Yes,No,7,7,5.9,Rarely,Yes,No,Yes
27,Male,Psychology Student,4,2,Action,Yes,Yes,No,7,4,6.2,Sometimes,No,No,Yes
24,Male,Degree finish,4,6,Action,Yes,No,Yes,2,9,6.2,Never,No,Yes,Yes
18,Female,HS Junior,7,4,Simulation,Yes,Yes,No,6,3,6.1,Sometimes,No,Yes,Yes
25,Female,Auto Mechanic,4,1,Action,Yes,No,Yes,3,9,7.0,Always,Yes,No,Yes
19,Prefer not to say,IT Helpdesk,6,7,Creative,Yes,No,No,10,7,2.5,Often,No,No,Yes
21,Male,Warehouse Worker,1,6,Strategy,Yes,No,Yes,9,4,5.4,Often,Yes,Yes,Yes
23,Female,Student,2,6,Simulation,No,No,No,5,8,6.4,Never,No,No,Yes
19,Female,Landscaper,2,6,FPS,Yes,No,No,7,7,6.1,Never,Yes,Yes,Yes
23,Female,Auto Mechanic Lead,6,1,MMO,Yes,Yes,Yes,9,4,6.2,Always,No,No,Yes
21,Female,Student,1,5,Casual,No,Yes,No,7,6,6.1,Sometimes,No,Yes,Yes
23,Male,Mechanical Contractor,4,2,RPG,Yes,Yes,Yes,2,2,4.7,Always,No,Yes,Yes
27,Female,Student,5,2,Casual,Yes,Yes,No,7,3,6.0,Often,Yes,No,Yes
24,Male,Student,4,3,Strategy,Yes,Yes,No,3,5,7.2,Sometimes,Yes,No,Yes
19,Female,Nurse,4,6,FPS,No,Yes,Yes,10,2,3.9,Often,No,No,Yes
26,Female,Auto Mechanic Lead,2,3,Creative,Yes,Yes,Yes,2,4,6.9,Sometimes,No,Yes,Yes
19,Male,Student,2,2,Rhythm,Yes,Yes,No,9,8,8.5,Rarely,Yes,Yes,Yes
18,Female,Doctor,1,3,Strategy,Yes,No,No,2,5,6.4,Always,Yes,Yes,Yes
19,Prefer not to say,Warehouse Worker,1,7,Sports,Yes,Yes,Yes,7,2,5.7,Often,Yes,Yes,Yes
22,Male,Student,2,7,Other,Yes,No,Yes,8,6,2.0,Sometimes,No,No,Yes
26,Male,Medical Student,2,5,FPS,Yes,Yes,Yes,2,8,7.6,Often,Yes,No,Yes
18,Male,Student,4,1,Simulation,Yes,Yes,Yes,7,7,1.0,Often,Yes,No,Yes
22,Female,Engineering Student,4,4,Casual,Yes,No,No,7,2,6.3,Rarely,Yes,Yes,Yes
20,Female,Medical Student,7,4,Strategy,Yes,Yes,Yes,9,8,6.2,Sometimes,No,No,Yes
19,Other,Freelance Writer,1,5,RPG,Yes,Yes,Yes,10,7,6.0,Sometimes,Yes,Yes,Yes
20,Male,Music Producer,5,7,Strategy,Yes,Yes,Yes,6,7,7.1,Often,No,Yes,Yes
23,Male,Business in Import export ,1,7,Action,Yes,No,No,5,5,6.0,Always,Yes,Yes,Yes
17,Male,Electrician,1,5,Simulation,Yes,Yes,No,2,3,7.3,Often,No,No,Yes
26,Female,High School Student,2,3,Casual,Yes,No,No,7,4,6.0,Sometimes,No,No,Yes
19,Female,Dental Assistant,2,7,Racing,Yes,Yes,No,6,1,4.7,Never,Yes,No,Yes
20,Male,Student,1,3,Simulation,No,No,Yes,6,8,7.6,Often,Yes,No,Yes
19,Male,HS Senior,1,5,Battle Royale,Yes,Yes,Yes,10,1,8.2,Sometimes,Yes,No,Yes
20,Female,Student,1,6,Puzzle,Yes,Yes,Yes,4,8,4.7,Rarely,Yes,Yes,Yes
19,Female,Nursing Student,4,5,Simulation,Yes,Yes,Yes,7,4,7.1,Often,Yes,No,Yes
19,Male,Student,3,5,MMO,Yes,Yes,Yes,5,5,6.3,Sometimes,Yes,No,Yes
21,Male,College Freshman,4,1,Action,Yes,Yes,No,2,3,5.8,Often,Yes,No,Yes
24,Male,Student,1,7,Battle Royale,Yes,No,Yes,9,3,3.2,Often,Yes,No,Yes
18,Male,High School Junior,5,7,FPS,Yes,Yes,Yes,8,6,5.9,Often,No,Yes,Yes
21,Male,Vet Tech,6,3,Strategy,Yes,Yes,Yes,5,7,8.6,Rarely,Yes,No,Yes
23,Prefer not to say,Aerospace Engineer,3,7,FPS,Yes,Yes,No,3,8,6.3,Always,Yes,No,Yes
23,Male,Nanny,2,6,FPS,Yes,Yes,Yes,3,9,5.3,Never,Yes,No,Yes
27,Female,Theater Major,4,7,Creative,No,No,No,8,6,5.4,Sometimes,Yes,No,Yes
23,Male,Student,3,1,Creative,Yes,No,Yes,2,1,5.2,Often,Yes,Yes,Yes
25,Female,Construction Worker,2,6,FPS,No,Yes,No,10,4,5.4,Sometimes,Yes,Yes,Yes
23,Female,Auto Dealership Manager,1,7,Sports,Yes,No,No,8,8,6.1,Often,Yes,No,Yes
20,Female,Freelancer,3,4,Puzzle,No,Yes,Yes,3,7,3.8,Rarely,Yes,No,Yes
27,Female,Construction Worker,7,6,Action,Yes,Yes,No,6,8,4.6,Always,Yes,No,Yes
26,Male,Rideshare Driver FT,5,7,FPS,Yes,Yes,No,3,4,6.9,Often,Yes,Yes,Yes
22,Male,Student,3,5,Sports,Yes,Yes,Yes,5,5,6.2,Often,No,No,Yes
19,Male,Student,2,5,Strategy,Yes,Yes,Yes,5,2,8.2,Always,Yes,No,Yes
22,Male,Student,4,3,Casual,Yes,Yes,No,4,7,6.5,Rarely,No,Yes,No
29,Male,College Student,5,6,Puzzle,No,Yes,Yes,6,4,6.4,Always,Yes,No,Yes
22,Male,Dentist,5,2,Creative,No,Yes,Yes,10,2,6.6,Often,Yes,No,Yes
24,Male,Student,1,7,Simulation,Yes,Yes,Yes,7,5,5.9,Sometimes,Yes,Yes,Yes
18,Female,College Student,4,5,Action,No,Yes,No,9,6,7.4,Sometimes,Yes,Yes,Yes
21,Male,Marketing Manager,1,4,Creative,Yes,Yes,Yes,4,4,6.2,Always,Yes,Yes,Yes
24,Male,Biology Major,3,3,FPS,Yes,Yes,Yes,9,6,3.9,Often,No,No,Yes
22,Male,Dental Assistant,1,1,Strategy,No,Yes,No,7,4,5.2,Never,No,No,Yes
21,Prefer not to say,Student,4,6,FPS,Yes,Yes,No,9,9,5.8,Rarely,No,Yes,Yes
22,Female,Behavioral Neuroscience,4,7,Strategy,Yes,Yes,No,7,6,8.1,Sometimes,Yes,Yes,Yes
19,Male,Student,6,5,Creative,Yes,Yes,Yes,9,4,5.4,Often,No,Yes,Yes
24,Female,Chief Technology Officer,2,4,Puzzle,Yes,No,No,6,4,7.4,Often,No,Yes,Yes
25,Male,Factory Worker,2,2,Multiplayer,Yes,Yes,Yes,2,4,5.9,Often,No,Yes,Yes
20,Male,Student,1,6,Casual,Yes,Yes,Yes,5,1,5.8,Rarely,Yes,No,Yes
19,Male,HS Junior,4,4,Puzzle,Yes,Yes,Yes,3,6,8.5,Sometimes,Yes,No,Yes
22,Female,Marketing Associate,2,4,Puzzle,No,Yes,Yes,3,2,6.3,Often,No,No,Yes
20,Female,Student,2,6,Battle Royale,Yes,Yes,No,5,7,6.1,Sometimes,Yes,Yes,Yes
23,Female,Intern,2,7,MMO,Yes,No,No,3,4,6.3,Often,No,No,Yes
28,Female,Librarian,1,4,MMO,Yes,No,Yes,5,6,1.0,Sometimes,Yes,No,Yes
21,Female,Social Worker,5,1,Puzzle,Yes,No,No,2,5,3.0,Often,Yes,No,Yes
27,Female,Cybersecurity Expert,4,6,Sports,No,No,Yes,6,8,2.5,Rarely,Yes,Yes,Yes
20,Female,Manager,6,5,Action,Yes,Yes,Yes,6,6,5.8,Often,Yes,Yes,Yes
23,Male,Student ,3,2,Simulation,Yes,Yes,Yes,10,3,3.4,Never,Yes,Yes,Yes
22,Female,Student,4,5,Strategy,Yes,No,No,8,8,7.5,Often,Yes,Yes,Yes
23,Female,Student,7,5,Creative,Yes,Yes,No,10,6,3.0,Rarely,No,No,Yes
24,Female,Pediatrician,3,6,FPS,Yes,Yes,Yes,2,6,6.2,Sometimes,No,No,Yes
21,Prefer not to say,Computer Engineering,4,7,Multiplayer,Yes,No,No,10,6,6.0,Sometimes,Yes,No,Yes
19,Male,Marketing Coordinator,2,2,Strategy,Yes,Yes,Yes,9,6,4.0,Always,Yes,Yes,Yes
25,Female,Student,1,7,FPS,Yes,No,Yes,3,5,7.7,Sometimes,Yes,No,Yes
23,Female,Student,3,5,Racing,Yes,Yes,Yes,7,4,6.1,Sometimes,Yes,Yes,Yes
21,Female,Student,1,4,Action,Yes,No,No,9,2,6.1,Sometimes,No,Yes,Yes
22,Male,Janitor,3,7,Sports,No,Yes,No,7,2,6.9,Never,Yes,Yes,Yes
25,Male,Student,3,2,Racing,Yes,Yes,No,10,2,3.1,Always,Yes,No,Yes
20,Male,HS Senior,5,6,Battle Royale,Yes,Yes,Yes,7,4,5.7,Often,Yes,Yes,Yes
26,Male,Construction Worker,3,2,MMO,Yes,No,No,2,4,5.4,Never,Yes,No,Yes
20,Male,Computer Engineering,5,3,FPS,No,Yes,Yes,7,6,8.1,Often,No,No,Yes
19,Female,Nursing Student,4,6,Racing,Yes,Yes,Yes,2,8,4.7,Often,Yes,No,Yes
18,Male,College Student,1,7,FPS,No,No,No,6,4,8.1,Sometimes,Yes,Yes,Yes
24,Male,Student,1,3,Educational,Yes,Yes,Yes,5,7,5.7,Sometimes,Yes,No,Yes
24,Female,Marketing Director,4,6,MMO,Yes,Yes,Yes,1,9,5.6,Sometimes,Yes,No,Yes
22,Female,Blockchain Developer,1,2,Racing,Yes,Yes,Yes,7,6,6.5,Always,Yes,No,Yes
22,Female,Virtual Reality Designer,6,4,Racing,Yes,Yes,Yes,8,7,6.2,Sometimes,No,Yes,Yes
21,Male,College Student,3,6,Racing,No,Yes,Yes,9,9,5.3,Sometimes,Yes,Yes,Yes
17,Female,High School Freshman,4,2,Racing,No,No,Yes,6,7,8.1,Never,No,Yes,Yes
19,Female,Landscaping Crew,1,6,FPS,Yes,Yes,Yes,6,8,6.2,Never,Yes,Yes,Yes
28,Male,Office Coordinator,1,5,FPS,Yes,Yes,Yes,6,9,5.9,Often,Yes,No,Yes
18,Male,Student,2,3,Puzzle,Yes,No,No,6,6,8.4,Sometimes,No,Yes,Yes
23,Male,Cashier,4,7,RPG,Yes,No,Yes,6,2,6.9,Always,No,No,Yes
21,Male,Student,4,6,Simulation,Yes,Yes,Yes,3,4,6.3,Sometimes,No,Yes,Yes
22,Male,Vet Tech,4,1,Racing,Yes,Yes,No,8,4,4.0,Rarely,Yes,No,Yes
18,Female,Student,5,6,Puzzle,Yes,No,No,2,3,4.6,Always,Yes,No,Yes
18,Male,Psychology Student,4,2,Racing,No,No,Yes,7,8,4.9,Often,No,Yes,Yes
19,Female,Marketing Coordinator,1,5,MMO,No,No,No,9,7,5.7,Sometimes,No,Yes,Yes
22,Male,College Freshman,4,7,Puzzle,Yes,Yes,Yes,7,9,5.8,Often,Yes,No,Yes
22,Male,Electrician,1,4,Educational,Yes,Yes,No,9,1,5.1,Often,Yes,No,Yes
21,Male,Graphic Designer,1,6,Sports,Yes,No,No,5,4,1.5,Rarely,Yes,Yes,Yes
21,Other,Graphic Designer,7,6,Strategy,No,No,No,10,4,5.1,Often,Yes,Yes,Yes
22,Male,Astrophysics Student,5,2,RPG,Yes,Yes,Yes,4,6,6.3,Never,Yes,No,Yes
23,Male,Early Childhood Educator,1,5,Strategy,Yes,Yes,No,3,6,5.8,Often,Yes,Yes,Yes
19,Male,Librarian,1,6,FPS,Yes,No,No,5,1,7.2,Never,Yes,Yes,Yes
21,Male,IT Administrator,5,1,Sports,Yes,No,Yes,8,5,7.5,Sometimes,No,No,Yes
20,Female,Fast Food Worker,1,6,Racing,No,No,No,7,3,7.0,Rarely,No,Yes,Yes
23,Female,Auto Dealer,1,3,Racing,Yes,No,Yes,7,4,4.5,Often,Yes,Yes,Yes
18,Female,Freelance Writer,4,4,MMO,Yes,No,No,7,7,6.2,Never,Yes,Yes,Yes
25,Male,Investment Banker,3,7,FPS,Yes,Yes,Yes,7,8,4.8,Sometimes,Yes,No,Yes
19,Male,College Dropout,1,4,Racing,No,Yes,Yes,7,6,7.1,Sometimes,Yes,Yes,Yes
18,Male,Cognitive Psych Student,5,1,Puzzle,Yes,No,Yes,3,8,3.3,Rarely,Yes,No,Yes
25,Male,Unemployed,1,1,Strategy,Yes,Yes,No,7,6,5.8,Always,Yes,No,Yes
21,Male,IT Director,5,2,Strategy,Yes,No,Yes,4,6,6.0,Sometimes,Yes,No,Yes
21,Female,Business in Import export ,4,5,Simulation,No,Yes,Yes,5,1,8.3,Sometimes,No,Yes,Yes
21,Male,Aerospace Student,1,6,Racing,No,No,No,7,5,6.1,Often,Yes,Yes,No
19,Female,Student ,3,2,FPS,Yes,Yes,No,8,8,6.3,Often,No,No,Yes
20,Male,IT Support,1,5,Racing,Yes,No,Yes,7,3,5.7,Often,Yes,Yes,Yes
20,Male,Social Worker,3,6,Action,Yes,Yes,Yes,6,4,8.0,Always,Yes,Yes,Yes
20,Male,Medical Assistant,4,1,Strategy,Yes,Yes,Yes,6,8,3.9,Never,Yes,Yes,Yes
21,Male,IT Consultant,1,7,Action,Yes,No,Yes,8,3,6.2,Often,No,Yes,Yes
20,Male,Truck Driver,8,6,Simulation,Yes,No,No,1,5,6.0,Never,Yes,No,Yes
25,Female,Early Childhood Educator,7,4,FPS,Yes,Yes,No,3,1,7.0,Sometimes,Yes,No,Yes
17,Male,Student,1,7,FPS,No,No,No,10,8,6.2,Sometimes,Yes,Yes,Yes
23,Male,HS Junior,4,1,Simulation,Yes,No,No,6,4,6.1,Sometimes,Yes,No,Yes
25,Female,Vet Assistant,2,5,Educational,Yes,No,Yes,8,4,6.2,Often,Yes,No,Yes
25,Male,Financial Analyst,5,6,Battle Royale,No,No,Yes,6,7,7.1,Sometimes,Yes,No,Yes
20,Male,Art Instructor,2,6,MMO,Yes,Yes,Yes,8,5,7.4,Often,No,Yes,Yes
20,Male,Delivery Operations,4,1,MMO,No,Yes,Yes,6,3,6.2,Sometimes,Yes,No,Yes
27,Male,Chemistry Major,7,2,MMO,No,Yes,No,7,10,7.9,Never,No,Yes,Yes
